0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.35,0.35-0.40,0.40-0.45,0.45-0.50,0.50-0.55,0.55-0.60,0.60-0.65,0.65-0.70,0.70-0.75,0.75-0.80,0.80-0.85,0.85-0.90,0.90-0.95,0.95-1.00
37747,823,186,68,40,31,14,12,4,5,4,0,0,0,0,1,0,0,0,0
38311,385,110,53,22,19,11,11,3,4,2,3,0,0,0,0,1,0,0,0
38824,71,22,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38889,35,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38906,24,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38706,137,46,19,9,10,3,1,1,3,0,0,0,0,0,0,0,0,0,0
38888,40,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38897,31,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38567,258,58,25,6,8,6,2,0,1,2,2,0,0,0,0,0,0,0,0
38668,171,48,23,5,5,4,2,2,1,0,2,1,2,1,0,0,0,0,0
38783,114,20,8,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38793,102,24,8,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
38920,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38629,209,63,18,4,3,2,1,1,0,3,0,0,0,0,1,0,1,0,0
38521,287,76,28,12,2,3,3,0,1,0,0,1,0,1,0,0,0,0,0
38510,290,80,28,13,7,2,0,2,1,2,0,0,0,0,0,0,0,0,0
38843,59,20,5,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0
38768,127,27,5,2,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0
38825,79,21,2,2,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0
38923,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38889,39,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38904,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38884,38,5,2,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
38815,84,11,7,6,3,1,6,0,0,1,1,0,0,0,0,0,0,0,0
38787,100,20,11,6,4,2,0,1,1,1,0,1,0,0,0,1,0,0,0
38503,246,72,26,16,12,8,7,10,4,5,3,5,4,7,3,3,1,0,0
38723,102,33,13,11,8,8,3,3,2,0,2,5,6,5,3,2,3,3,0
38824,48,10,10,8,2,4,4,8,6,1,3,3,1,0,3,0,0,0,0
38847,39,20,6,2,2,4,4,2,3,3,1,0,0,0,2,0,0,0,0
38819,69,16,12,8,5,1,2,1,1,0,0,1,0,0,0,0,0,0,0
38851,49,17,6,6,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
38870,37,6,6,2,2,4,3,3,0,0,2,0,0,0,0,0,0,0,0
38875,33,7,5,1,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0
38852,45,13,8,7,1,0,0,1,0,0,0,1,0,1,6,0,0,0,0
38865,35,12,11,1,2,0,0,1,0,0,0,0,1,0,1,6,0,0,0
38776,127,22,3,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0
38802,107,17,2,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
38808,89,24,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37156,1007,335,177,99,59,42,21,15,12,5,3,3,1,0,0,0,0,0,0
38057,467,191,95,43,25,17,12,7,8,4,6,3,0,0,0,0,0,0,0
